GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,"Revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of revenue from administrative records (%),Percent of revenue estimated (%)
0500000US17001,17001,"Adams County, Illinois",22,Utilities,2012,5,Q,D,D,c,Q,Q
0500000US17001,17001,"Adams County, Illinois",221,Utilities,2012,5,Q,D,D,c,Q,Q
0500000US17001,17001,"Adams County, Illinois",2211,"Electric power generation, transmission and distribution",2012,4,Q,D,D,b,Q,Q
0500000US17001,17001,"Adams County, Illinois",22112,"Electric power transmission, control, and distribution",2012,4,Q,D,D,b,Q,Q
0500000US17001,17001,"Adams County, Illinois",221122,Electric power distribution,2012,4,Q,D,D,b,Q,Q
0500000US17001,17001,"Adams County, Illinois",2213,"Water, sewage and other systems",2012,1,Q,D,D,a,Q,Q
0500000US17001,17001,"Adams County, Illinois",22131,Water supply and irrigation systems,2012,1,Q,D,D,a,Q,Q
0500000US17001,17001,"Adams County, Illinois",221310,Water supply and irrigation systems,2012,1,Q,D,D,a,Q,Q
0500000US17003,17003,"Alexander County, Illinois",22,Utilities,2012,1,Q,D,D,a,Q,Q
0500000US17003,17003,"Alexander County, Illinois",221,Utilities,2012,1,Q,D,D,a,Q,Q
0500000US17003,17003,"Alexander County, Illinois",2213,"Water, sewage and other systems",2012,1,Q,D,D,a,Q,Q
0500000US17003,17003,"Alexander County, Illinois",22131,Water supply and irrigation systems,2012,1,Q,D,D,a,Q,Q
0500000US17003,17003,"Alexander County, Illinois",221310,Water supply and irrigation systems,2012,1,Q,D,D,a,Q,Q
0500000US17005,17005,"Bond County, Illinois",22,Utilities,2012,3,Q,D,D,b,Q,Q
